Iteration,Size,Iteration of Size,Time,Steps,Maze,Order of Steps
69,3,69,107,60,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
70,3,70,129,72,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
71,3,71,81,42,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
72,3,72,460,252,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
73,3,73,25,12,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
74,3,74,8,6,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
75,3,75,26,16,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
76,3,76,200,100,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
77,3,77,454,226,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
78,3,78,12,8,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
79,3,79,525,296,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
80,3,80,294,164,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
81,3,81,161,84,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
82,3,82,18,8,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
83,3,83,19,10,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
84,3,84,45,28,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
85,3,85,82,52,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
86,3,86,39,28,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
87,3,87,65,40,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
88,3,88,23,10,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
89,3,89,35,22,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
90,3,90,108,56,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
91,3,91,20,14,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
92,3,92,26,12,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
93,3,93,13,8,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
94,3,94,17,12,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
95,3,95,465,218,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
96,3,96,84,54,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
97,3,97,77,42,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
98,3,98,16,10,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
99,3,99,22,10,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
100,3,100,16,8,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
1,3,1,15,8,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
2,3,2,12,6,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
3,3,3,7,4,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
4,3,4,8,6,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
5,3,5,13,8,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
6,3,6,20,12,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
7,3,7,35,20,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
8,3,8,78,40,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
9,3,9,60,32,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
10,3,10,144,80,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
11,3,11,27,14,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
12,3,12,179,100,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
13,3,13,26,16,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
14,3,14,44,18,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
15,3,15,68,36,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
16,3,16,13,8,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
17,3,17,15,10,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
18,3,18,7,4,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
19,3,19,150,80,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
20,3,20,528,296,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
21,3,21,12,6,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
22,3,22,36,20,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
23,3,23,320,160,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
24,3,24,110,60,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
25,3,25,248,138,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
26,3,26,75,44,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
27,3,27,44,26,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
28,3,28,33,22,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
29,3,29,607,296,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
30,3,30,427,248,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
31,3,31,74,36,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
32,3,32,30,12,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
33,3,33,40,22,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
34,3,34,17,12,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
35,3,35,56,24,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
36,3,36,39,22,"[[1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1]]",[]
